title,performer
Abracadabra Family Friendly Magic Show,Alex Kouvatas / PBH's Free Fringe
Adventures! Journey Through Dungeons With Dragons,Donal Vaughan
All New Crazy Puppet Magic Show,Leigh Milne – Scotland's Magic Sensation
Amazing Bubble Man,Louis Pearl
Amazing Family Comedy Bingo: Prizes Galore!,Jes Moon
Anatomy of the Piano (for beginners),Will Pickvance
Anime-Zing Kids!,Soness Stevens Kitano / Free Festival
Awesome Andy – The Show!,Andrew Boyd / PBH's Free Fringe
Barry Potter and the Magic of Wizardry,Racing Sloth Productions
BATSU! Presents: GANBA!!,BATSU! Moon
The Battle of Frogs and Mice,Helicon Storytelling
Battle of the Reefs,Robyn Perkins
Beauty and the Beast,Flying High Young Company
Best of Edinburgh Fringe for Kids,Art of Comedy
"Big Voices, Little Legends",Proscenium Stage School
Billy Banana's Brilliant Bingo,Billy Banana
Bleep Bleep!,Dender Cartoontheater
Boys Don't Dance,Marc Brew Company
Brrr,Hayley Earlam
Bubba-Licious,Last Dodo
The Bubble Show®,The Highland Joker
Cantonese Opera x Children's Interactive Theatre: Dic Dic Chang Chang Playground,One Table Two Chairs Charitable Foundation
CATS – Young Actors Edition,"Theatre with a Twist, Inc"
A Clown's Lullaby,Crested Fools
Comedy Club 4 Kids,Comedy Club 4 Kids Ltd
CeilidhKids at the Fringe,CeilidhKids / Free Festival
Children's Underground Ghost Show,City of Edinburgh Tours
CinderGorilla: The Musical,"Gareth P Jones, The Ministry of Mini Musicals"
A Comedy Magic Show for Kids,Raul Kohli and Thomas De Bernede
ComedySportz,The Totally Improvised Company
Dare To Dream JR,Academy of Expressive Arts (AEA Productions)
Circus The Show,Showmen Productions
Darryl J Carrington: Out of the Box,Darryl J Carrington
Did You Hear What I Saw?,Tom GK and Tom Skelton
Disney's The Jungle Book Kids,Siege of Herons
DIY Circus with Frisco Fred,Frisco Fred / Free Festival
Doktor Kaboom and the Wheel of Science!,Doktor K Worldwide /
Don't Wait For Me... – France Showcase,Vera Rozanova
Dragon Babies,Dragon Song Productions
Dragon Tales,Dragon Song Productions
The Elves and the Shoemaker,Theatre of Widdershins
Explosive Science Show!,Showmen Productions
Family Films Sing-a-Long Encanto!,Family Films Sing-a-Long Encanto!
